149;22232;AXA INVESTMENT MANAGERS DEUTSCHLAND GMBH
150;23660;AXE ET COURBES
151;18742;AXEO FM
152;23443;AXIANS
153;19006;AXIONE - UC 788
154;23003;AZIZI KHALED
155;3990;B PACK
156;22715;B&B HOTELS
157;18577;B2S
158;19838;BACHMANN
159;22042;BANCEL AGENCE NORMANDIE
160;22917;BANCILHON
161;23365;BARROS JEAN PIERRE
162;21731;BASE AERIENNE 721 - ROCHEFORT
163;23570;BASE AERIENNE 722 - USID ROCHEFORT
164;18976;BATI ARMOR
165;18977;BATI NANTES
166;19354;BATIGERE ILE DE FRANCE
167;23586;BATIGERE NORD EST
168;11748;BATIGERE RHONE ALPES
169;23470;BATIGERE SAREL
170;4017;BAUDIN CHATEAUNEUF
171;19438;BAYEUX - CENTRE HOSPITALIER
172;18776;BE LOUIS CHOULET
173;22627;BE REAL
174;19153;BEAUGE ARCHITECTE
175;19016;BEBE9
176;21757;BEGUE PEYRICHOU GERARD
177;7413;BENETEAU
178;23444;BER 21
179;22833;BEREPF II FRANCE TRINITE SAS
180;21452;BERNARD JEAN CHRISTOPHE
181;23513;BERTEAU BENOIT SPAR
182;21759;BERTO
183;21391;BERTRAND MORAGLIA ARCHITECTE DPLG
184;22879;BERTRAND TESSIER - ARCHITECTE
185;21347;BESTSELLER WHOSALE
186;22918;BIDAULT BATIMENT
187;23762;BIN HAM GROUP
188;7714;BIODEPE
189;23327;BIOMASSE ENERGIE DU LEON
190;7010;BIOTEC
191;21994;BLANLOEIL TRAVAUX PUBLICS
192;23037;BNOX BRINOX DEVELOPPEMENT
193;18478;BNP PARIBAS - REAL ESTATE
194;22385;BNP PARIBAS REAL ESTATE
195;23137;BNP PROMOTION IE
196;2132;BOBST
197;22695;BOISDRON BOUTY
198;20681;BOISSEAU BATIMENT
199;22762;BONNET NEVE SA
200;23303;BONNO OUVERTURES
201;23001;BORDEAUX METROPOLE AMENAGEMENT
202;18814;BOREALIS AB
203;20488;BOUCHAUD ARCHITECTES
204;21541;BOUTHEON / ST BONNET
205;22693;BOUWFONDS EREP FUND II
206;22438;BOUWFONDS EREPF
207;8407;BOUYGUES BATIMENT
208;23738;BOUYGUES BATIMENT GRAND OUEST
209;8409;BOUYGUES ENERGIES & SERVICES
210;19212;BOUYGUES IMMOBILIER
211;22670;BRANDI PARTNERS
212;23163;BRASSERIE BAVARIA
213;20995;BREST AVENIR IMMOBILIER
214;23016;BREST METROPOLE 
215;19218;BREST METROPOLE HABITAT
216;23018;BREST'AIM
217;19188;BRETAGNE SUD HABITAT
218;18777;BREZILLON SA
219;4341;BRGM
220;23774;BRICE
221;23372;BRION BENOÿT
222;21926;BS ARCHITECTURE
223;23672;BS INVEST HOLDING ET DIAR EL MADINA
224;22959;BSE
225;22066;BTPO
226;19311;BURTON
227;23773;BZB (BIZZBEE)
228;20589;C.C.A.S. DE BRIGUEUIL
229;18919;C.E.A. COOPERATIVE ELECTRIQUE AIXOISE
230;23068;C.H.I.M.B
231;22928;CA BASSIN ANNONAY
232;23493;CA BASSIN AURILLAC
233;22588;CA BOURGES
234;13554;CA DE NIMES METROPOLE
235;11773;CA DE ST QUENTIN EN YVELINES
236;8548;CA DE VICHY VAL D'ALLIER
237;6826;CA DU GRAND BESANCON
238;11734;CA DU LAC DU BOURGET
239;11655;CA DU PAYS D'AIX EN PROVENCE
240;5162;CA DU PAYS VOIRONNAIS
241;22827;CA EVRY CENTRE ESSONNE
242;23477;CA FORBACH PORTE DE FRANCE
243;23347;CA LES PORTES DE L'ESSONNE
244;18911;CA MARNE ET GONDOIRE
245;15620;CA PLAINE COMMUNE
246;2949;CA PORTE DE L'ISERE
247;1265;CA PORTES FRANCE THIONVILLE
248;8522;CA SAINT ETIENNE
249;15619;CA SAINT QUENTIN EN YVELINES
250;4824;CA VILLEFRANCHE BEAUJOLAIS SAONE
251;20392;CABINET MERCIER
252;23022;CAECE
253;19321;CAEN HABITAT
254;19542;CAF DES COTES D'ARMOR
255;19541;CAF GUINGAMP
256;23778;CAFAN
257;23154;CAISSE CARMF CAISSE AUTONOME DE RETRAITE
258;18656;CAISSE D'EPARGNE COTE D'AZUR
259;3923;CAISSE DES DEPOTS
260;19545;CALITOM
261;19198;CALVADOS HABITAT
262;19371;CAMAIEU INTERNATIONAL SAS
263;23645;CAMTEX
264;18382;CAMY
265;19530;CAP ATLANTIQUE
266;22880;CAP'INVEST
267;21963;CARALY PARIS 16
268;18980;CARDINAL
269;23329;CARLI LIONEL ARCHITECTE
270;22544;CARMF
271;19229;CARREFOUR
272;19516;CARREFOUR HYPERMARCHES
273;23000;CARREFOUR HYPERS
274;18675;CARREFOUR PROPERTY
275;19086;CARREFOUR PROPERTY GESTION
276;7589;CARREFOUR ROMANIA- HIPROMA SA
277;21917;CARREFOUR SA
278;22690;CARREFOUR-HYPERMARCHES
279;19539;CARSAT BRETAGNE
280;22791;CASINO MORLAIX
281;3633;CASINO RESTAURATION
282;4681;CAUDRILLIER SA
283;21192;CBI
284;2117;CC  DE LA HAUTE VALLEE DU SEREIN, TERRE  PLAINE
285;23650;CC ARDRE ET CHATILLONNAIS
286;4983;CC BEAUJOLAIS - VAUXONNE
287;23604;CC BEAUJOLAIS PIERRES DORêES 
288;10149;CC CHAMOUSSET EN LYONNAIS
289;23677;CC D'AUBERIVE VINGEANNE ET MONTSAUGEONNAIS
290;22708;CC DE BIEVRE EST
291;2897;CC DE FEURS
292;10236;CC DE L'ISLE CREMIEU
293;23794;CC DE LA BRIE DES ETANGS
294;2903;CC DE LA REGION DE BEAUJEU
295;23441;CC DE LA REGION DE GUEBWILLER
296;23587;CC DE LA REGION DE RAMBERVILLERS
297;23551;CC DE LA VALLEE DE ST AMARIN
298;23793;CC DE VITRY CHAMPAGNE ET DER
299;23421;CC DES PORTES DE LA THIERACHE
300;23019;CC DES VALLEES D'AIGUEBLANCHE
301;7043;CC DES VALLONS DU LYONNAIS
302;4756;CC DOMBES SAONE VALLEE
303;23355;CC DU BASSIN DE PONT A MOUSSON
304;8515;CC DU CANTON DE MONTLUEL
305;23721;CC DU GRAND LANGRES
306;23520;CC DU PAYS D'ERSTEIN
307;22853;CC DU PAYS D'OLLIERGUES
308;23516;CC DU PAYS DE COLOMBEY ET DU SUD TOULOIS
309;2882;CC DU PAYS DE L'ARBRESLE
310;2987;CC DU PAYS DE L'OZON
311;23416;CC DU PAYS DE NIEDERBRONN LES BAINS
312;23626;CC DU PAYS DES ETANGS
313;6853;CC DU PAYS DU GRESIVAUDAN
314;5124;CC DU PAYS MORNANTAIS
315;23521;CC DU PAYS ORNE MOSELLE
316;23122;CC DU PLATEAU D'HAUTEVILLE
317;23621;CC DU VAL DES COULEURS
318;23804;CC EPERNAY PAYS DE CHAMPAGNE
319;23696;CC GIENNOISES
320;18725;CC LE TONNERROIS EN BOURGOGNE
321;19431;CC MONTMORILLONNAIS
322;22572;CC PORTE DE DROMARDECHE
323;11741;CC REGION SAVERNE
324;22726;CC RHONE CRUSSOL
325;23332;CC RIVES DE MOSELLE
326;8600;CC VAL DE SAONE CHALARONNE
327;20134;CCAS CHATILLON EN VENDELAIS
328;23469;CCAS NICE
329;19184;CCI DU PAYS DE SAINT MALO
330;22592;CCI MARSEILLE PROVENCE
331;3827;CCI NICE COTE D'AZUR
332;22634;CCI PARIS ILE DE FRANCE
333;8983;CCI/MACON
334;9022;CCM
335;23776;CCV BEAUMANOIR
336;10262;CD 13
337;4758;CD 21
338;18694;CD 26
