N_Client,Nom_Client
21743,MAIRIE ILE D'ARZ
22268,UBS REAL ESTATE KAG
22272,AEW  EUROPE
22276,VIRGIN STORES
19353,OSICA
21755,L'ARCHE LES SAPINS - ESAT
21756,MASSYRED
21757,BEGUE PEYRICHOU GERARD
22369,PATRIMONIA ST DENIS C/O TELMMA
1120,RENAULT TRUCKS
1128,COMMUNAUTE COMMUNES VAL DE MOSELLE
3782,ALSTOM GRID
18656,CAISSE D'EPARGNE COTE D'AZUR
19545,CALITOM
22385,BNP PARIBAS REAL ESTATE
22390,CHAMPGUEFFIER
22395,MARCEAU CONSTRUCTION
19354,BATIGERE ILE DE FRANCE
19356,COMMUNE D'ABLON SUR SEINE
19357,DECATHLON - LANNION
19358,DDE DE L'EURE
18199,COMMUNE DE MONTAUVILLE
18643,ISERE AMENAGEMENT
6554,SOVAB-RENAULT
19360,MAIRIE DE PARIS
20927,SARL LANVAUDANAISE
1145,COMMUNAUTE COMMUNES AGGLOMERATION SARREBOURG
1158,RENAULT VILLIERS ST FREDERIC
3827,CCI NICE COTE D'AZUR
18690,VILLE DE CHALON SUR SAONE
18691,GRAND CHALON
19547,MAIRIE DE GOUSSAINVILLE
19548,THE KASE
19549,ORANGE
19550,SYNDICAT DES EAUX DE LA HAUTE VILAINE (2014)
19551,COMMUNAUTE DE COMMUNES ILE DE RE
19552,MAIRIE DE ST BERTHEVIN
19706,E.M.C.
19711,LYCEE BREQUIGNY RENNES
1183,SAREL - SAS
3846,CNRS - VILLEURBANNE
19553,COMMUNE DE CHEVANCEAUX
21243,VILLE DU CROISIC
20913,LA MONDIALE
19558,MAIRIE ST THEGONNEC
19559,MAIRIE LOCQUIREC
19362,SAMO GROUPE SNI
19364,MAIRIE DE MAGNY
19365,HABITAT 29
3880,LA POSTE
20911,CHAINE THERMALE DU SOLEIL
1222,COMMUNAUTE COMMUNES VALLEE HUNDSBACH
19560,COMMUNE DE PLUMELEC
19368,ICF ATLANTIQUE SA D'HLM
19370,COMMUNE DE LA VRAIE CROIX
19371,CAMAIEU INTERNATIONAL SAS
19372,HAPPYCHIC GROUP
19373,IDGROUP
19374,GROUPE BEAUMANOIR
19375,TAPE A L'OEIL
3897,SICECO
19808,COMMUNE DE SAINT LUNAIRE
3914,APIJ
19376,MAIRIE DE PLESSIS GRAMMOIRE
3919,DEPARTEMENT DE LA COTE D'OR
3923,CAISSE DES DEPOTS
22187,COMMERZ REAL
3940,CONSEIL DEPARTEMENTAL 77
3942,OFFICE AUXERROIS DE L'HABITAT
19561,SAFI
19562,CONCARNEAU CORNOUAILLE AGGLOMERATION
19563,VANNES AGGLO
19564,MAIRIE DE VAIGES
19566,MAIRIE LA FOREST LANDERNEAU
19378,COMMUNE DE BENON
19379,ADIM OUEST
19384,LA POSTE CHARENTE
19385,DIRECTION DEPARTEMENTALE TERRITOIRES D'ANGOULEME
3946,REGILAIT
22204,PROTHIN SAS
3960,ATS INGENIERIE
19567,MAIRIE DE LANNILIS
22231,SCI VENDOME BUREAUX
22232,AXA INVESTMENT MANAGERS DEUTSCHLAND GMBH
22234,SCI LE BRISTOL XII
3981,AREP
3984,MGE UPS SYSTEMS SAS
3990,B PACK
1235,CHEREAU SAS
3994,SNCF
20519,MAIRIE VILLEPAIL
1254,COMMUNAUTE COMMUNE PAYS DES ETANGS
4006,ARKEMA FRANCE
4012,DCB INTERNATIONAL
4013,MINISTERE DE LA DEFENSE
4017,BAUDIN CHATEAUNEUF
19951,FENETRE A
20158,CENTRE HOSPITALIER DE RUFFEC
1257,LIDL SI‘GE
1263,SCHOTT
1265,CA PORTES FRANCE THIONVILLE
4019,ALSTOM TRANSPORT
20450,SCCV LA COURROUZE D09
20525,MME FIQUET SOPHIE
4037,EDF
19093,HY-NUTRITION
19097,SCCV SYNERGIA
19098,SOCOMORE
19101,CHESAPEAKE
1283,ARCELORMITTAL FRANCE
18679,DIR MEDITERANEE
19193,VILLE DE PARIS
19954,SNC KAUFMAN ET BROAD
19956,GROUPE LAUNAY
18307,SI POUR LA GEOTHERMIE
18800,REGIE DES REMONTEES MECANIQUES DE LANS EN VERCORS
22260,REDEVCO FRANCE SERVICES
12403,IKEA
21021,COLMABU SAS
6768,MAIRIE DE HAUTE RIVOIRE
6771,PINGUELY HAULOTTE
1360,ENTPE
19196,CONSEIL DEPARTEMENTAL D'ILLE ET VILAINE
19197,VILLE DE RENNES
19198,CALVADOS HABITAT
19199,COMMUNE DE CHERMIGNAC
19200,MAIRIE D'OLIVET
19201,EADM
19202,HABITAT 35
6820,MAIRIE DE SAINT PRIEST
6826,CA DU GRAND BESANCON
6828,MAIRIE DE SAINT LAURENT DE MURE
20493,CFA GRAND OUEST
22663,SCI DU CREDIT COOPERATIF
22729,SOGOOD
22773,INGERIS CONSULTING
21008,TELELEC RESEAUX
18309,EDF FLAMANVILLE
1417,VINCI CONSTRUCTION
18485,VILLE DE COURCOURONNES
6853,CC DU PAYS DU GRESIVAUDAN
19203,CONSEIL DEPARTEMENTAL DE LA SARTHE
19204,ARCHIPEL HABITAT
19205,PARC NATUREL REGIONALE DE BRIERE
19206,MORLAIX - SALLE OMNISPORT
19207,UNIVERSITE DE RENNES 1
19209,VITRE COMMUNAUTE COMMUNAUTE D'AGGLOMERATION
19210,EMERAUDE HABITATION
19386,EDF - DPIT UP CORDEMAIS
22781,COMMUNAUTE AGGLOMERATION TOULON PROVENCE MEDITERRA
22790,DEPARTEMENT DE LA CHARENTE MARITIME
22901,MAISON FAMILIALE DE PROVENCE
22980,VET'CLEAN SARL
23007,MAIRIE DE CHASSENEUIL SUR BONNIEURE
23019,CC DES VALLEES D'AIGUEBLANCHE
18235,MAIRIE DE SAINT GENIS POUILLY
19716,MMA
20586,CENTRE HOSPITALIER CAMILLE CLAUDEL
20589,C.C.A.S. DE BRIGUEUIL
4095,COMMUNE DE BELFORT
18684,MEPSO
22291,AOS FRANCE
23650,CC ARDRE ET CHATILLONNAIS
23658,MONSIEUR BUIN
23676,COMMUNE DE VERRIERES
23677,CC D'AUBERIVE VINGEANNE ET MONTSAUGEONNAIS
23678,COMMUNAUTE URBAINE DU GRAND NANCY
18815,STARNET MOLDOVA
22299,ABERDEEN IMMOBILIEN KAPITALANLAGEGESELLSCHAFT
23720,SNCF RESEAU - SCP - CFO
23742,COMMUNE D'ENNERY
23652,IMMO CONTROLE
1465,QUALICONSULT
22310,SCI BERTE
22316,NOVAPIERRE 1
23206,PREFECTURE DE LA CHARENTE MARITIME
23209,SCI CEDAYA
23210,CONSORTS MAHE
23223,SAS IMMO KOUTIO
23230,COLLIERS  INTERNATIONAL
23250,CONSEIL DêPARTEMENTAL DU VAL D'OISE
23255,CENTRE HOSPITALIER DE SAINTONGE
23278,GALERIES LAFAYETTE 
23287,MAIRIE DE CHALINDREY
23295,COMMUNE DE LESSAY
18286,ANIREF
18733,UNIVERSCIENCE
18749,POSTE ROUEN
19482,ARC PROMOTION BRETAGNE
19884,CHATEAULIN DISTRIBUTION
22326,DEKA EQWATER SARL
22327,CREDIT FONCIER IMMOBILIER CONSEIL ET AUDIT
23728,MAIRIE DE LANILDUT
18298,MAIRIE DE RUMILLY
18328,GANOVA
21541,BOUTHEON / ST BONNET
23236,CELEX
23251,VILLE DE SAINT-AMAND-LES-EAUX
23297,CONSEIL DEPARTEMENTAL DES VOSGES
23307,TOTAL/NANTERRE
23319,GROUPE BERTO 77
23326,EIFFAGE CONSTRUCTION ILE ET VILAINE
23336,COMMUNE DE MONTCHANIN
23338,EDF-CENTRE NUCLEAIRE DE PRODUCTION D'ELECTRICITE 
23345,HOTEL LA BOULE D'OR
23354,SNCF MOBILITES - CSP - CFO
18233,SEM VALLOIRE
22352,SDC 18 RUE DE LA VILLE L'EVEQUE
23648,MAIRIE DE ST GILDAS DE RHUYS
23653,COMMUNE DE TRESSANGE
23684,RENAULT TRUCKS DEFENSE
23733,GRAND BESANCON HABITAT
23686,SUDECO
18253,SNCF POLE INGENIERIE NANTES
20331,MAIRIE DE BREC'H
20332,SCI BRUVER IMMO
9737,KOSTT
9740,REN INVESTISSEMENTS
9742,MINISTERE DE DEFENCE- UM 02523
23347,CA LES PORTES DE L'ESSONNE
23348,VILLE DE MEAUX
23362,COMMUNE DE BOOS
23368,SCI PRONY BUREAUX
23372,BRION BENOÿT
23376,COMMUNE DE ROHAN
23377,MAISON DE RETRAITE LA GACILLY
23380,UNIVERSITE STRASBOURG
18694,CD 26
18914,SOLETANCHE BACHY RUEIL
19483,ESPACE DOMICILE
19486,COMMUNAUTE DES COMMUNES DE LOC'H
19487,EDF TOURS
19488,DARTY STE SOULE
19489,CROUS DE RENNES
19490,MAIRIE DE SAINT MALO
6971,CONSEIL DEPARTEMENTAL 01
6974,IRH INGENIEUR CONSEIL
23651,LOGIS CEVENOL - OPH ALES AGGLOMERATION
23718,VILLE DE CHARLEVILE MEZIERES
23654,MAISON DE RETRAITE DE LA SOULTZMATT
23719,MAIRIE DE SAINT JUST CHALEYSSIN
