N_Client,Nom_Client
18871,EHPAD LES CURTINES
10169,DREAL BOURGOGNE
20988,COMMUNAUTE DE COMMUNES DE L.A. MERIDIONALE
20670,CHS ALLONNES
23254,COUTIER INDUSTRIE
23256,INSTITUT DU BEAU JOLY
23267,ABEIL BET 
23276,COMMUNE AURIBEAU SUR SIAGNE
23288,NORMAPRIM
23290,ECOLE NORMALE SUPERIEURE DE LYON
23291,MAIRIE D'ARS
23293,CONGREGATION DES SOEURS SAINTE MARTHE
23077,COMMUNE D'ELVEN
23135,ENTREPRISE PASDELOUP
23177,COMMUNE D'ARACHES
23180,SGAMI EST
18391,SYNDICAT DES EAUX DE CRY - PERRIGNY
19921,SUD OUEST CHAUFFAGE
10177,MAIRIE DE LA BUISSE
10181,EDF CIH
10186,MAIRIE DE VIRIAT
20695,PSLGROUP
20702,AGENCE PLAST
23337,CP CONCEPT
23339,SAS SWEETHOUSE - ALAN LE MAO
23341,SPLA AIX EN PROVENCE
23346,MAIRIE DE DOMPIERRE SUR YON
23351,SYNDICAT MIXTE PRODUCTION & DISTRIBUTION CHALEUR
23649,MAIRIE DE PLEUMELEUC
23396,RESEAU CANOPE - SITE DE CAEN
23397,MAGASIN JULES
23398,MAGASIN BIZBEE
23404,VILLE DE MONTIGNY LE BRETONNEUX
1868,AUCHAN
1874,CLEMESSY
21917,CARREFOUR SA
21918,GCC
21919,SITRUK
21920,CUISINELLA
21921,KAEFER WANNER
21924,DROMER
21925,ENTREPRISE BERGAMASCO
21926,BS ARCHITECTURE
21927,SEBACO
19235,MAIRIE DE CHANGE
19237,RENNES - MINISTERE JUSTICE
20718,GROUPE FABER SA
13,PBTP
23405,COMMUNAUTE DE COMMUNES DE L'ILE D'OLERON
23410,FAYVALLEE SARL
23412,COMMUNE DE VENDAYS MONTALIVET
23413,COMMUNE DE NANCRAS
23429,COFINIMMO
23430,HAUTS DE SEINE HABITAT - OPH
23431,SPLA RUEIL AMêNAGEMENT
23432,VILLE DE GARGENVILLE
23433,GROUPE VINET
21944,EURL ARCHITECTE EXPERT
21951,PROMOVAL
21952,POLIMMO
21953,ABG CLIMATIQUE
21955,SCCV ARENA
10203,CHAMBERY METROPOLE
20984,GUISNEL DISTRIBUTION
20985,MAIRIE DE FOUSSIGNAC
20742,MAHO BATIMENT
20745,MORBIHANNAISE DU BATIMENT
20748,SRB CONSTRUCTION
23408,COMMUNE DE LE BONO
23409,COMMUNE DU CROISIC
23411,ASPAC
23434,COMMUNE DE KUTZENHAUSEN
23435,FREY
23436,COMMUNE DE MEREVILLE
23437,SIVOM DE L'ALZETTE
23438,SDIS DU BAS RHIN
23439,VILLE DE XONRUPT LONGEMER
23440,VILLE DE NANCY
23441,CC DE LA REGION DE GUEBWILLER
21998,KIDER STORE SOLUTIONS
21999,LOCATRA
22003,VERMOESEN
22005,PLANCON
22007,ATELIERS DE LA MABILAIS
20980,MAISON D'ACCUEIL SPECIALISEE "LE FRAICHE PASQUIER"
20992,SARL FLONI
20769,INTERMARCHE BREST
20771,DOMUS ARCHITECTURE
23418,VILLE DE ST ETIENNE LES REMIREMONTS
23419,VILLE DE DOMBASLE
23420,COMMUNAUTE D'AGGLOMERATION DE CHALONS EN CHAMPAGNE
23421,CC DES PORTES DE LA THIERACHE
23422,SIVOM DE POUILLY FLEURY
23424,VILLE DE COMMERCY
23425,PORT AUTONOME DE STRASBOURG
23426,SIS DU 1ER CYCLE DE NANCY
23428,CENTRE SOCIAL D'ARGONNE
23443,AXIANS
1901,SCHNEIDER ELECTRIC-LONGVIC
1902,AIR FRANCE INDUSTRIES
1911,AEROPORTS DE LYON/COLOMBIER
20121,CNFTP
20123,ASSOCIATION SYNDICALE LIBRE DU NOUVEL ESPACE COMME
20125,SCI HALLES DE RECOUVRANCE
20130,SCI DGS
10232,CD 60
10236,CC DE L'ISLE CREMIEU
20790,ENTREPRISE  MAROC
23444,BER 21
23446,ENTREPRISE AUBIN
23448,ENTREPRISE PORCHER
23449,SGAMI SUD OUEST
23450,ENTREPRISE LECOQ
23451,ENTREPRISE EMERAUDE PEINTURE
23452,ENTREPRISE MIRIEL
23453,ENTREPRISE MARTIAL
23465,AFMAE
23458,TRIODOS FINANCES BV
23461,SARL LE GOURVILY
1922,MAIRIE DE SAINTE HELENE DU LAC
1923,MAIRIE DE BOURBON-LANCY
20311,SAS PROTEC
10244,MINISTERE DE LA DEFENSE-CEPR
19242,SA HLM LE FOYER (16)
19243,COMMUNAUTE DE COMMUNES DE JARNAC
19245,MAIRIE DE MESLAY DU MAINE
19247,SYNDICAT MIXTE CENTRE NORD ATLANTIQUE
15748,CLEMESSY C3
21,PCA
23445,MOET & CHANDON CHAMPAGNE
23456,SPAR LARMOR PLAGE
23457,TROUSSIER SANDRA 
23708,COMMUNE DE LA GUICHE
23462,SEMADS
23464,SPLM
23466,OPH VAR HABITAT
23473,LOGEVIE
23475,IGC SERVICES
23477,CA FORBACH PORTE DE FRANCE
23478,MONSIEUR VINCENT NIVET
1929,SARA
1932,VILLE  DE THIONVILLE
21144,VILLE DE ROUEN
21146,SAS LE FOLL TP
10259,STRATES
20832,TOPOS ARCHITECTURE
20835,AEDIFIS
18104,SAFRAN
18678,CLERMONT COMMUNAUTE
23454,SARL HOTEL AFRICANA
23467,COMMUNE DE MANONCOURT EN VERMOIS
23468,INRS VANDOEUVRE
23469,CCAS NICE
23470,BATIGERE SAREL
23472,CONSEIL DEPARTEMENTAL DE LA COTE D'OR
23479,VILLE DE ST DIZIER
23487,SYNDICAT INTERCOMMUNAL DE L'ANZELIN
23493,CA BASSIN AURILLAC
23495,COMMUNE DE SAINT THEGONNEC
1937,COMMUNE DE METZ
18978,ETPO
7369,AEROPORTS DE PARIS
10262,CD 13
10263,MAIRIE DE SAINT GENEST MALIFAUX
10270,NOVADE
19248,VILLE DE BRIGNOGNAN-PLAGES
20977,GRAND COGNAC COMMUNAUTE DE COMMUNES
20849,SOCLOVA
20852,RESIDENCES DE L ORLEANNAIS
18644,COMMUNAUTE AGGLOMERATION DIJONNAISE
18821,CIRCET
56,RECTORAT DE DIJON
61,RENAULT GUYANCOURT 78
64,RENAULT FLINS
18174,VILLE DE SENS
22968,SOGEPROM
1973,COMMUNE DE BAR LE DUC
18980,CARDINAL
18982,AXA
1985,COMMUNE D'HAGONDANGE
4649,RESEAU FERRE DE FRANCE
1987,METZ HABITAT TERRITOIRE
1993,ANDRA/CHATENAY MALABRY
7413,BENETEAU
2005,EDF SETRAL
2007,MAIRIE D'ANTONY
4681,CAUDRILLIER SA
2016,SEMAPA
2018,MAIRIE DE MAUREPAS
2019,COSEA - SGI
18848,VILLE DE CHAMBRAY LES TOURS
18867,KVERNELAND GROUP
4700,GRAND PORT MARITIME DU HAVRE
18986,ARCENO
19580,SIAEP DES AVALOIRS
18360,LOGIREP
2039,COMMUNE DE MULHOUSE
18363,MAIRIE DU HAVRE
18364,SOCIETE D'AMENAGEMENT DE L'OISE
18891,ADC CONSTRUCTIONS
4718,ATMB
23205,REDMANN ASSET DEVELOPPEMENT
18844,SOCAREN
18847,ART CAM
18895,VILLE DE MOIDIEU DETOURBE
18902,CONSEIL DEPARTEMENTAL 86
20133,GROUPE LEGRAND
19125,ASL DU C.C. CHOLET
19126,SNC BUSSY SAINT GEORGES LE SYCOMORE
19127,CONFRASILVAS
10278,EIFFAGE TP - ETS GAUTHEY
19129,SELECTIRENTE
20866,SCCV DU "MAINE GEOFFROY"
20867,MADIC
20870,SONADEV
18868,ADOMA RHONE ALPES
10286,DRE DE FRANCHE COMTE
10293,ALLIADE HABITAT
19249,VILLE DE DEAUVILLE
19250,VILLE DE LA MONTAGNE
2074,SUN'R
2076,MAIRIE DE PARIS/STEGC
2080,THALES AVIONICS
20502,VILLE DE POITIERS
4756,CC DOMBES SAONE VALLEE
4758,CD 21
18989,SARL LES VOYAGEURS DE L'OUEST
18991,SCI BONNARME
18993,FABIENNE BULLE ARCHITECTE & ASSOCIES
19130,LOG EXTRAMUROS
10301,CD 92
10306,SYRIBT
19255,COMMUNAUTE D'AGGLOMERATION DE LAVAL
4761,CD 38 - GRENOBLE
4765,CD 42 - ST ETIENNE
4773,CD 73
19581,VILLE DE PLOURIN LES MORLAIX
19582,CDC DE HAUTE CHARENTE
19583,CDC BANDIAT TARDOIRE
19584,COMMUNE DE CERENCES
19585,COMMUNAUTE DE COMMUNES DU HAUT TREGOR
19586,VILLE D'EPINAY SUR SEINE
19587,SYNDICAT MIXE AGGLOMERATION GRANVILLAISE
19588,VILLE DE VIGNEUX SUR SEINE
19589,COMMUNE DE SARZEAU
20062,SCI GAMA
20064,FRANCE TELECOM
18351,OISE HABITAT
2103,SIVU DU CREANTON ET DE LA BRUMANCE
4774,CONSEIL DEPARTEMENTAL DE HAUTE SAVOIE
18865,SYNDICAT MIXTE DES STATIONS DU MERCANTOUR
20561,MAIRIE DE VARS
20592,COMMUNAUTE DE COMMUNES DU ROUILLACAIS
21931,FLORENDI JARDIN
21933,HVRF
21935,CONCEPT TY
21939,LES P'TITES BOMBES
21941,GIBOIRE SA
10334,MAIRIE DE MIRIBEL
19397,VAL DE GARONNE AGGLOMERATION
19398,AURAY COMMUNAUTE
19399,ESPACIL RESIDENCES
19400,SADIV
19401,VILLE DE DINARD
19402,MANCHE HABITAT
19407,SAT
2115,MAIRIE DE SAINTS GEOSMES
2117,CC  DE LA HAUTE VALLEE DU SEREIN, TERRE  PLAINE
2118,Ministry of Science Industry and Technology
7553,AREA
10347,DRE ILE DE FRANCE
19256,COMMUNE DE SAINT-DENIS D'OLERON
19257,REGION AQUITAINE LIMOUSIN POITOU-CHARENTES
19258,HABITAT 17
19259,HOPITAL LOCAL DE SAINT-MAIXENT L'ECOLE
19261,CENTRE HOSPITALIER DE LA ROCHELLE
2121,EUROPEAN BANK FOR RECONSTRUCTION AND DEVELOPM
2124,VILLE DE PARIS
18896,GRANIOU FIBCOM (01)
18922,EVEN LAIT INDUSTRIE
7560,ALTRAN
7567,AUTOMOBILE DACIA
19131,AMOCLE
19132,CLIMAVER
19133,INTER CONSEIL TRAVECO
19134,SCCV VDC3
19135,SCCV CAP EMERAUDE PROMOTION
19136,SCCV CAP EMERAUDE SERVICES
19140,PLAST ARCHITECTURE
2132,BOBST
18414,SNCF INGENIERIE NORD PARIS
4817,DECATHLON
4824,CA VILLEFRANCHE BEAUJOLAIS SAONE
22375,SCI 39 RUE DU COLISEE
23710,DELTA
23807,PORTZAMPARC  - SOCIETE DE BOURSE
23727,VILLE DE CHATEAU DU LOIR
22794,HENDERSON GLOBAL INVESTORS
22816,SDFC MORANT
22830,VILLE DE FRELINGHIEN
22831,VILLE DE DRANCY
22832,MARNE ET CHANTEREINE HABITAT
22852,SAS CBR
22915,PANORAMA CASH
18921,CLUB TROLLSPORTS TRIAL
4830,EDF
4838,EPANI
7589,CARREFOUR ROMANIA- HIPROMA SA
18998,SARL SRP
19000,SCI  ESPACE SANTE ST JEAN DE SOUDAIN
19001,MR LEVEQUE
19263,SEMIS
18845,METALLERIE PHILIPPE GAUTHEY
18917,ENTREPRISE DUMAS TP
21958,SARL R2AE
21963,CARALY PARIS 16
21966,WZ CONSTRUCTIONS
21967,ECOLE DES METIERS DE L'ENVIRONNEMENT
19264,CENTRE HOSPITALIER DE ROYAN
19265,ETABLISSEMENT PUBLIC DEPARTEMENTAL LES 2 MONTS
19268,COMMUNE DES SORINIERES
4857,GROUPAMA
4858,GTM BATIMENT ET GENIE CIVIL LYON
21972,GRENKE LOCATION SAS
21973,F.INICIATIVAS
21974,SARL ABG
21981,SAS GRESTRA
18906,EIFFAGE TP IDF
4875,MAIRIE D'ANNONAY
4876,MAIRIE D'ARNAS
19593,ATRIUM
4878,MAIRIE DE BELLEVILLE
4881,MAIRIE DE BRINDAS
4885,MAIRIE DE CHAPONOST
4886,MAIRIE DE CHARENTAY
4903,ROGER MARTIN
20134,CCAS CHATILLON EN VENDELAIS
21984,IPAC
21989,AGENCE D'ARCHITECTURE GOISBEAU DANIEL
21992,SPIE-OUEST
21994,BLANLOEIL TRAVAUX PUBLICS
4925,CU MARSEILLE PROVENCE METROPOLE
20321,IMMOFI 7
22833,BEREPF II FRANCE TRINITE SAS
22837,SAS LES CONSTRUCTIONS GHIZZO
22839,APAVIL SA VALCEA
22843,FOYER DU TOIT FAMILIAL
18466,DIR OUEST
22400,SECOMM
22404,UIR DEVELOPMENT FRANCE
23257,KRONOSPAN
23258,KRONOSPAN
23259,MAIRIE DE MONTALIEU VERCIEU
23266,PANAFRANCE
23269,ENTREPRISE POTIN
23270,ENTREPRISE QUELAIS
23271,ENTREPRISE SODIMAC
23272,ENTREPRISE GUINDE
23273,ENTREPRISE SOMEVAL
23277,CREDIT AGRICOLE LOIRE ATLANTIQUE VENDEE
18386,ATELIER MONCHECOURT & CORD
18789,GINKEO
18886,VILLE DE PONT SUR YONNE
18887,COMMUNE DE PERRIGNY SUR ARMANÄON
18888,D3 SOCIêTê DE LA DêVIATION DE TROISSEREUX
2164,VINCI CONSTRUCTION TERRASSEMENT
18889,MAIRIE DE ST LAURENT DE CHAMOUSSET
4954,PERRIER TP
22414,ICADE CONSEIL
22418,DEKA IMMOBILIEN INVESTMENT GMBH
23153,MR ET MME LE GALLO
23292,MAIRIE DE SAINT ELOY LES MINES
23294,LAMBALLE COMMUNAUTE
23296,COMMUNAUTE D'AGGLOMERATION DU GRAND VERDUN
23300,UNITE MILITAIRE 02542 FOCSANI
23301,MADAME CLAIRE FAYE
23309,SGAP DE MARSEILLE
2173,REGIE ANC PUISAYE-FORTERRE
2177,MAIRIE D'AMAGNEY
2178,RTE GENERIQUE MCEL CX512T4003
19003,ICF NOVEDIS
7714,BIODEPE
19665,ENTREPRISE MADIC
19668,SETEC BATIMENT
19671,HECD
20254,DARTY OUEST
23306,CORA
23311,ENTREPRISE QUEMARD
23315,COOPERATION ET FAMILLE
23316,DOS SANTOS BATIMENT
23317,MAIRIE DE COMBOURG
23318,MAIRIE DE SAINT-JOACHIM
23320,INTU - NOX INTERNATIONAL (TUNISIE)
23321,INCA - NOX INTERNATIONAL (CAMEROUN)
23322,INCI - NOX INTERNATIONAL (COTE D'IVOIRE)
2188,SOCRI
4979,MAIRIE DE MONTLUEL
7725,SIERT DE PLOMBIERES LES DIJON
20322,DEFOND MACONNERIE
20443,HOPITAL DE MORTAIN
16027,ORANGE METZ
23169,CONSEIL DêPARTEMENTAL DE L'HERAULT
23176,MAIRIE DE JASSANS-RIOTTIER
23323,INFR - NOX INTERNATIONAL
23327,BIOMASSE ENERGIE DU LEON
23329,CARLI LIONEL ARCHITECTE
23330,CSA
23331,PLANET FIT SARL
23332,CC RIVES DE MOSELLE
23334,MAIRIE D'ANSE
23343,SARL HIPPIE CHIC
23344,KORIAN
23358,HIPPIE CHIC SARL
2193,AEROPORTS DE LYON
18412,ERMONT HABITAT
2204,CFA RHONE ALPES AUVERGNE
4983,CC BEAUJOLAIS - VAUXONNE
4990,SETEC ALS
7742,RTE GENERIQUE GIV CX630C4006
19964,VILLE DE COUERON
19838,BACHMANN
16034,SNCF DIRECTION DE L'IMMOBILIER
16039,SNCF ANTENNE REIMS
23183,SCI NEUFLIZE VIE IMMO
23328,SOGETREL
23302,COMMUNE DE LE MINIHIC SUR RANCE
23324,SARL DOYEN
23350,VILLE DE LA GARENNE COLOMBES
23355,CC DU BASSIN DE PONT A MOUSSON
23361,SNC NMP MERCURE
23365,BARROS JEAN PIERRE
23369,UNIVERSITE DE LORRAINE
23370,CONSERVATOIRE DU LITTORAL
18430,SCI VENDOME OUTLETS
7760,ENT SBTP
22438,BOUWFONDS EREPF
22447,SCPI INTERPIERRE
23009,NUVIA STRUCTURE
23184,SCIC COOP-LOGIS
23274,CONSTRUCTIONS PONGELARD
23312,EMERSON INDUSTRIAL AUTOMATION
23333,LM WIND POWER 
23371,AGENCIA
23378,SAS SADEF
23379,MR FABRICE COLLET
23399,MAIRIE DE ROHAN
23401,VILLE DE STENAY
23725,HOPITAL NORD FRANCHE COMTE
23414,CONSEIL DEPARTEMENTAL DE MOSELLE
7772,ENT SERANGE
20201,MINISTERE DE L'INTERIEUR
16060,VALEO
16061,SYNDICAT INTERCOMMUNAL EAU ASSAINIS FONTOY
16064,LINGENHELD PAULETTE
23192,COMMUNE DE ST MAURICE LES CHATEAUNEUF
23262,SCPI IMMORENTE - SOFIDY
23264,SAFRAN - SNECMA
23303,BONNO OUVERTURES
23310,VILLE DE MIRECOURT
23366,MAIRIE DE MORSBACH
23367,LORMATECH
23381,MAIRIE DE SAINT JORIOZ
23416,CC DU PAYS DE NIEDERBRONN LES BAINS
23417,CHAMBRE DES METIERS ET DE L'ARTISANAT DE MOSELLE
18540,SNI/ORLEANS
19004,PORTALIS IMMOBILIER
7780,RTE GENERIQUE GIV CX631C4012
19006,AXIONE - UC 788
19007,NUTREA
19008,LE FOYER D'ARMOR - GROUPE LB HABITAT
7790,RTE GMR FOREZ VELAY
10566,LOGI EST
19975,ATREALIS PROMOTION
10572,MAIRIE D'AUTUN
19409,SCI BP
19411,MAIRIE DE MOUTHIERS SUR BOEME
19412,ALCEANE OPH DE LA VILLE DU HAVRE
19413,MAIRIE DE MAYENNE
19414,COMMUNE DE PETIT MARS
19415,MAIRIE DE PLOMODIERN
19416,CONSEIL DEPARTEMENTAL DE LA HAUTE MARNE
19417,MAIRIE ST JEAN SUR MAYENNE
19418,COMMUNAUTE DE COMMUNES DE L'ERNêE
22792,INTERMARCHE GRANVILLE
22793,LECLERC MOISSELLES
22943,FRED PETR ARCHITECTE
10576,MAIRIE DE CHAGNY
20621,CONSEIL D'ETAT
20622,TELECOM BRETAGNE
18368,AMIENS METROPOLE
20654,SEMSA
20656,VALLET DE MARTINIS
22643,EHPAD AU SAVEL
18919,C.E.A. COOPERATIVE ELECTRIQUE AIXOISE
5066,MAIRIE DE CLERMONT FERRAND
19146,MACE
19147,DINAN CODI HABITAT - OPH
5071,SEM VAL DE BOURGOGNE
7837,RTE CDI NANTES
7838,MAIRIE DE JOIGNY
19678,NANTES METROPOLE
7849,SIAEP  DE TOUCY
7851,RTE CDI TOULOUSE
7853,VILLE  D'AUXERRE
7854,RTE GMR SAVOIE
7857,RTE CDI PARIS
19977,COMMUNAUTE DE COMMUNES LANVOLLON PLOUHA
22659,SNC SPACIA ET CIE
22660,SYNDICAT DES COPROPRIETAIRES DU C.CIAL BIENVENU
22664,EON BERTRAND
22670,BRANDI PARTNERS
22712,SARL TORRES
22766,GTM SAINT HERBLAIN
22771,MAIRIE DE COGNIN
2317,RENAULT SAS RUEIL
5103,MAIRIE DE VIENNE
5108,GRAND LYON HABITAT
7860,RTE CDI MARSEILLE
19012,LAFOSSE ET FILS
7862,RTE CDI LILLE
19013,AFUL K2 LORIENT
19014,MR ET MME FAYE STEPHANE
19015,SCCV DINASTY
19016,BEBE9
20184,LA POSTE RENNES
20705,COMMUNAUTE DE COMMUNES SUD GOELO
22468,PREIM DEFENSE
22469,SCI GUILLERAIS NANTERRE
22472,THOR PROPERTIES LLC
19422,VILLE DE LAVAL
19424,VILLE DE QUIMPER
19426,VILLE DE CLAMART
19428,AKERYS PROMOTION
19429,SYNDICAT INERCOMMUNAL TRISKOL
19430,SMICTOM DU NAR
19431,CC MONTMORILLONNAIS
5124,CC DU PAYS MORNANTAIS
19018,SARL ABOUD AMOR & FILS
19024,SCI IBU RIMAINS
7893,SIER D'ETIVEY
19025,SCI LANESTER SEMBAT
22480,GELF ROISSY LOGISTICS (FRANCE) SCI
22481,SCI EURONANTES
22482,WESTINVEST GESELLSCHAFT FUR INVESTMENTFONDS MBH
22483,CILOGER
22486,SCI ILOT LAFAYETTE
22487,SCPI FRUCTIPIERRE
20358,CHAMBRE DES METIERS ET DE L ARTISANAT DU MORBIHAN
23033,NOXA - NOX CLEM NANTES
23035,SCCV NANTES
23036,INRO - NOX INTERNATIONAL ROUMANIE
23037,BNOX BRINOX DEVELOPPEMENT
23039,INAL - NOX INTERNATIONAL - AL (ALGERIE)
23044,COMMUNAUTE DE COMMUNES PAYS D'APT LUBERON
22854,MAIRIE DE LA GRAND COMBE
22855,MAIRIE DE SAINTE SIGOLENE
22856,MAIRIE DE BRIOUDE
22872,ATELIER DU POISSONNIER
22917,BANCILHON
22918,BIDAULT BATIMENT
23017,MAIF
23018,BREST'AIM
18481,SNCF ROUEN
23515,MAIRIE DE BEAUCOUZE
23533,CENTRE NATIONAL DU CINEMA ET DE L'IMAGE ANIMEE
23647,EHPAD DE ST ANDRE 
13462,SORGEM
13472,EDF - ANAPRI
5159,GRENOBLE ALPES METROPOLE
23538,SCI LAUMAR
23543,QUADRAN
23701,SARETEC
23555,COM COM SOMBERNONNAIS ET VALLEE DE L'OUCHE
23557,MAISON DE RETRAITE SAINT-GABRIEL
23558,UNIVERSITE DE REIMS CHAMPAGNE ARDENNE
23562,IEM - INSTITUT D'EDUCATION MOTRICE
23563,SPACIA & CIE
23565,ASCO INDUSTRIES
23566,MACIF COA
23587,CC DE LA REGION DE RAMBERVILLERS
22488,SCPI ATOUR PIERRE DIVERSIFICATION
22499,SNCF
22500,PATRIMMO COMMERCE
13473,MAIRIE LA VERPILLIERE
13483,MAIRIE DE CALUIRE
5162,CA DU PAYS VOIRONNAIS
23567,HILL INTERNATIONAL
23574,MECATEAM ASSIST OPERATING ABREV MAO
13490,MAIRIE DE SAINT SIMEON DE BRESSIEUX
13494,AFTRP
18478,BNP PARIBAS - REAL ESTATE
23569,ATARAXIA
23570,BASE AERIENNE 722 - USID ROCHEFORT
23572,REIMS HABITAT CHAMPAGNE ARDENNE
23573,IMMOCHAN
23578,EUROVIA BOURGOGNE
23579,SANUELEC
23582,FONCIERE ATLAND
23583,DIFIM
23584,MAIRIE DE LA BAZOGE
23585,DEPARTEMENT DE LA MANCHE
13500,SAVILLS
20752,SCI HOTEL THALASSO DES DUNES
20755,COMMUNAUTE DE COMMUNES DES 4B SUD CHARENTE
23571,COMMUNE DE CHISSEY EN MORVAN
23576,VILLE DE BEHREN LES FORBACH
13518,CHARTRES AMENAGEMENT
22632,VILLE D'ALIZAY
22633,VILLE DE SAINT OMER
22634,CCI PARIS ILE DE FRANCE
22707,OUTSIGN ARCHITECTURE
22730,RIVE DROITE SERVICES
22941,SCI DU GROUPE ISICA
23078,DEFONTAINE SA
23080,GROUPE AMBASSADE
23168,AUTOBACS
23575,MOSELIS
23588,M. MADELENAT & MLLE. BARROCA
23589,SIVOM DE LA REGION MULHOUSIENNE
23591,CNRS DELEGATION CENTRE EST
13525,DREAL FRANCHE COMTE
13526,DREAL PACA
18464,CONSEIL DEPARTEMENTAL DU 93
23580,HOLDING DUBOIS
23586,BATIGERE NORD EST
19753,SPIE PRESENCE
5223,ARCELORMITTAL - INDUSTEEL LOIRE
5225,COMMUNE DE HUNINGUE
20460,MAIRIE DE NOELLET
10777,PARTICULIERS DIVERS
13547,ASF SIEGE
13548,MAIRIE DE NEYDENS
13552,CD 69
13553,EGIS RAIL
13554,CA DE NIMES METROPOLE
13555,LYON OLYMPIQUE UNIVERSITAIRE
13556,NEXITY NSPM
18677,ASM / CLERMONT FERRAND
20798,CIF COOPERATIVE
22648,PRêFECTURE DES HAUTS DE SEINE
22657,LA FONCIERE DE PARIS SIIC
22682,SCCV HAMEAU DES FOUGERES
22685,CENTRE HOSPITALIER LABAJOUDERIE
22734,SAS ANGDIS
22760,COMMUNE DU ROURET
22808,SAS TRENTE ORMEAUX DISTRIBUTION
19026,OGEC NANTES ERDRE
7903,ENT SOCATER
20008,LES THERMES MARINS DE SAINT MALO
18584,HLM LOGIS MEDITERRANEE
18586,VILLE DE MARSEILLE
18588,SPL SOPHIA
18589,MAIRIE DE MANDELIEU LA NAPOULE
19460,CENTRE DES FINANCES PUBLIQUES DE LA CHARENTE
22624,VAL D'ISERE AGENCE
22665,PUY DU FOU
22689,MAIRIE DE SEYSSINET PARISET
22806,TEMPEOL
22853,CC DU PAYS D'OLLIERGUES
22869,MAIRIE DE TANINGES
22891,COMMUNAUTE DE COMMUNES PAYS CORBIGEOIS
22914,VILLAVERDE MONTCEAU
22938,MAIRIE AUTHUME
18382,CAMY
18503,DREAL LORRAINE
18558,COMMUNAUTE D'AGGLOMERATION BAR LE DUC SUD MEUSE
22008,SEMDAS
22010,ENTREPRISE BENETEAU CONSTRUCTION
22011,EDF OPTIMAL SOLUTIONS - VANNES
22016,HOTEL LA CROIX VERTE
19461,COMMUNE D'AMFREVILLE
19462,MAIRIE DE SERS
19464,MAIRIE DE ROSNY SOUS BOIS
19466,COMMUNAUTE DE COMMUNES DE PAIMPOL-GOELO
19467,COUR APPEL DE CAEN
19468,SDNH
19469,COMMUNE DE LA JUBAUDIERE
22693,BOUWFONDS EREP FUND II
22746,MAIRIE DE FIRMINY
22778,VILQUIN GROUPE FAYAT
22804,ASSOCIATION DIOCESAINE DE NANTES
22848,CENTRE EDUCATIF CAMILLE VEYRON
22857,SPL LYON CONFLUENCE
22864,MINISTERE ECONOMIE ET DES FINANCES HAITI
22871,SARL G.N.S.
22911,L'ATELIER DES COMPAGNONS
22937,FILY PROMOTION
22021,SYNDICAT MIXTE DU PARC DE DEVELOPPEMENT ECONOMIQUE
22024,SAS STO
22025,EIFFAGE ENERGIE
22026,SDEGM
22028,COMPAGNIE FERMIERE DE SERVICES PUBLICS
22029,ENTREPRISE GUERIF
19881,SAS GROUPE LB
22586,MAIRIE DE SELONGEY
22037,SCCV L'AGORA
22042,BANCEL AGENCE NORMANDIE
22045,RECTORAT DE L'ACADEMIE DE RENNES
20957,MAIRIE DE BOULOGNE BILLANCOURT
20102,MR ET MME POULAIN
18620,SEMVAL
22051,SCCV O'RIZON
22052,NEXITY
22053,L'HORSET DAVID ARCHITECTE
22056,SARIA GESTION
22057,M. ET MME AUDIER
22058,HERVE THERMIQUE (37)
22059,GANIL
2529,EDF
18755,CONSEIL DEPARTEMENTAL ALPES MARITIMES 06
22060,CDC CHARENTE BOEME CHARRAUD
22064,ERB
22065,ENVIE 44
22066,BTPO
22068,SCCV MANOX 2
19272,LA POSTE POITIERS
19273,PREFECTURE DE LA CHARENTE
19274,HOPITAL DE LA ROCHELLE
19275,EFIDIS
19276,EMMA_S HABITAT
19278,FRANCE HABITATION
19279,GRANDE CHANCELLERIE DE LA LEGION D'HONNEUR
19282,ICF LA SABLIERE SA HLM
19283,COMMUNAUTE DE COMMUNES DU PAYS DE REDON
20078,PERFORMANCE PROMOTION
22975,INRA CENTRE RECHERCHE / DIJON
23034,PEROT
20297,MME LEVRON  -  VIVAL
22592,CCI MARSEILLE PROVENCE
19284,LE LOGIS FAMILIAL MAYENNAIS
20417,AGENCE CAILLAUD-PIGUET
22572,CC PORTE DE DROMARDECHE
22092,SARL NOX
19286,SA HARMONIE HABITAT
19287,VILLE DE BOESEGHEM
19288,LOGELIA CHARENTE
19289,LYCEE TECHNIQUE PROFESSIONNEL ST-JOSEPH L'AMANDIER
23704,COMMUNE DE SAINT JEAN CAP FERRAT
23736,ENGIE ENERGIE SERVICES
23737,CDC HAUTE TARENTAISE
23738,BOUYGUES BATIMENT GRAND OUEST
23739,EXAGONE
23744,INRIA SIEGE
23745,VILLE LES PENNES MIRABEAU
2565,COMMUNE DE COURCELLES-CHAUSSY
2572,ETABLISSEMENT D'INFRASTRUCTURE DE LA DEFENSE
19150,SCI ESPACE SANTE GROISY
10784,ADP
18246,LA FABRIQUE D'ARCHITECTURE
18510,LOGEMLOIRET
21141,DOS SANTOS
2588,COMMUNE DE RETTEL
2589,EDF - DIRECTION DES ACHATS
18630,SA PARC DU FUTUROSCOPE
21131,COMMUNAUTE DE COMMUNES  BROCELIANDE
20842,ETSB
2610,EDF DIRECTION IMMOBILIERE
19151,OPH 77
